2026-01-15 11:00:25,921 | INFO | werkzeug | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2026-01-15 11:00:25,922 | INFO | werkzeug | [33mPress CTRL+C to quit[0m
2026-01-15 11:00:25,925 | INFO | werkzeug |  * Restarting with stat
2026-01-15 11:00:27,250 | DEBUG | passlib.registry | registered 'pbkdf2_sha256' handler: <class 'passlib.handlers.pbkdf2.pbkdf2_sha256'>
2026-01-15 11:00:27,337 | WARNING | werkzeug |  * Debugger is active!
2026-01-15 11:00:27,343 | INFO | werkzeug |  * Debugger PIN: 242-094-371
2026-01-15 11:03:53,038 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:03:53] "OPTIONS /login HTTP/1.1" 200 -
2026-01-15 11:03:53,358 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:03:53] "POST /login HTTP/1.1" 200 -
2026-01-15 11:03:53,513 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:03:53] "OPTIONS /users?page=1&limit=10 HTTP/1.1" 200 -
2026-01-15 11:03:53,518 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:03:53] "OPTIONS /users?page=1&limit=10 HTTP/1.1" 200 -
2026-01-15 11:03:53,558 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:03:53] "GET /users?page=1&limit=10 HTTP/1.1" 200 -
2026-01-15 11:03:53,581 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:03:53] "GET /users?page=1&limit=10 HTTP/1.1" 200 -
2026-01-15 11:04:18,120 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:04:18] "OPTIONS /login HTTP/1.1" 200 -
2026-01-15 11:04:18,157 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:04:18] "POST /login HTTP/1.1" 200 -
2026-01-15 11:04:18,220 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:04:18] "OPTIONS /users?page=1&limit=10 HTTP/1.1" 200 -
2026-01-15 11:04:18,224 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:04:18] "OPTIONS /users?page=1&limit=10 HTTP/1.1" 200 -
2026-01-15 11:04:18,243 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:04:18] "GET /users?page=1&limit=10 HTTP/1.1" 200 -
2026-01-15 11:04:18,289 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:04:18] "GET /users?page=1&limit=10 HTTP/1.1" 200 -
2026-01-15 11:05:05,919 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:05:05] "OPTIONS /login HTTP/1.1" 200 -
2026-01-15 11:05:05,970 | INFO | werkzeug | 127.0.0.1 - - [15/Jan/2026 11:05:05] "POST /login HTTP/1.1" 200 -
